x	y	z	rad	rnd	nam
8970	960	96850	240	0	plant_bigtree_05.ldr
59810	960	82990	240	0	plant_bigtree_05.ldr
134450	960	12610	240	180	plant_bigtree_05.ldr
78730	960	25690	240	270	plant_bigtree_05.ldr
163390	960	2230	240	270	plant_bigtree_05.ldr
49510	960	104070	240	0	plant_bigtree_05.ldr
9210	1376	41950	240	90	plant_bigtree_05.ldr
108210	960	35370	240	-90	plant_bigtree_05.ldr
33530	6016	29710	240	-90	plant_bigtree_05.ldr
44010	960	108370	240	180	plant_bigtree_05.ldr
24610	5752	127170	240	270	plant_bigtree_05.ldr
117950	960	50210	240	90	plant_bigtree_05.ldr
31290	960	116930	240	270	plant_bigtree_05.ldr
38430	6088	26030	240	180	plant_bigtree_05.ldr
52050	1280	3930	240	270	plant_bigtree_05.ldr
116250	960	85790	240	180	plant_bigtree_05.ldr
96330	960	59730	240	-90	plant_bigtree_05.ldr
110050	960	27770	240	0	plant_bigtree_05.ldr
121550	960	81370	240	0	plant_bigtree_05.ldr
8890	960	104710	240	90	plant_bigtree_05.ldr
146330	960	13230	240	-90	plant_bigtree_05.ldr
142530	2344	142230	240	-90	plant_bigtree_05.ldr
140570	960	55970	240	90	plant_bigtree_05.ldr
82810	960	72990	240	-180	plant_bigtree_05.ldr
62810	960	90950	240	0	plant_bigtree_05.ldr
135530	1328	72130	240	-90	plant_bigtree_05.ldr
92430	960	62830	240	0	plant_bigtree_05.ldr
134390	960	61610	240	90	plant_bigtree_05.ldr
19710	960	110750	240	180	plant_bigtree_05.ldr
145430	1232	70150	240	-90	plant_bigtree_05.ldr
18910	960	48450	240	-90	plant_bigtree_05.ldr
89590	960	58990	240	-180	plant_bigtree_05.ldr
45930	960	89070	240	-180	plant_bigtree_05.ldr
50330	1272	122330	240	-90	plant_bigtree_05.ldr
49150	960	74170	240	0	plant_bigtree_05.ldr
66210	960	5050	240	-180	plant_bigtree_05.ldr
61110	2752	54170	240	0	plant_bigtree_05.ldr
66370	1104	64810	240	90	plant_bigtree_05.ldr
91330	960	16790	240	0	plant_bigtree_05.ldr
107230	960	77710	240	-90	plant_bigtree_05.ldr
90170	1048	46230	240	90	plant_bigtree_05.ldr
67130	2832	140390	240	90	plant_bigtree_05.ldr
54250	1512	6110	240	-180	plant_bigtree_05.ldr
80350	1176	147230	240	0	plant_bigtree_05.ldr
35850	960	78610	240	-180	plant_bigtree_05.ldr
8830	960	92510	240	0	plant_bigtree_05.ldr
142690	960	158870	240	-90	plant_bigtree_05.ldr
136570	960	92890	240	-180	plant_bigtree_05.ldr
126570	960	36910	240	180	plant_bigtree_05.ldr
121810	960	97090	240	-90	plant_bigtree_05.ldr
147610	960	22270	240	0	plant_bigtree_05.ldr
120870	3512	108070	240	90	plant_bigtree_05.ldr
106350	960	27830	240	90	plant_bigtree_05.ldr
109630	960	44830	240	-90	plant_bigtree_05.ldr
44010	5784	35570	240	90	plant_bigtree_05.ldr
95870	984	153670	240	90	plant_bigtree_05.ldr
87810	960	150530	240	-90	plant_bigtree_05.ldr
129310	960	4670	240	0	plant_bigtree_05.ldr
27370	960	73050	240	0	plant_bigtree_05.ldr
162970	960	51830	240	270	plant_bigtree_05.ldr
18430	960	390	240	-270	plant_bigtree_05.ldr
138830	960	88010	240	180	plant_bigtree_05.ldr
28090	4280	38090	240	-90	plant_bigtree_05.ldr
80990	960	19450	240	-270	plant_bigtree_05.ldr
12830	960	2570	240	-90	plant_bigtree_05.ldr
89370	960	71550	240	-90	plant_bigtree_05.ldr
54850	1672	63690	240	90	plant_bigtree_05.ldr
29370	960	86970	240	270	plant_bigtree_05.ldr
19130	960	110070	240	-360	plant_bigtree_05.ldr
88190	960	163130	240	-90	plant_bigtree_05.ldr
112690	960	54670	240	90	plant_bigtree_05.ldr
38870	960	120470	240	-90	plant_bigtree_05.ldr
68310	960	86990	240	-90	plant_bigtree_05.ldr
8030	1056	18430	240	90	plant_bigtree_05.ldr
63770	1360	147470	240	-90	plant_bigtree_05.ldr
11870	1472	39410	240	0	plant_bigtree_05.ldr
41150	960	110230	240	0	plant_bigtree_05.ldr
49470	960	830	240	-270	plant_bigtree_05.ldr
155530	960	45430	240	0	plant_bigtree_05.ldr
130870	960	77430	240	-180	plant_bigtree_05.ldr
143710	960	24550	240	-180	plant_bigtree_05.ldr
43590	960	99310	240	90	plant_bigtree_05.ldr
37150	960	120370	240	-90	plant_bigtree_05.ldr
33490	960	78230	240	0	plant_bigtree_05.ldr
78870	960	2490	240	0	plant_bigtree_05.ldr
56950	960	77450	240	90	plant_bigtree_05.ldr
146890	3648	127490	240	90	plant_bigtree_05.ldr
100090	960	5530	240	-90	plant_bigtree_05.ldr
13210	960	4490	240	0	plant_bigtree_05.ldr
97170	2760	145810	240	-180	plant_bigtree_05.ldr
144970	960	21130	240	0	plant_bigtree_05.ldr
142690	960	32290	240	90	plant_bigtree_05.ldr
160590	1816	90050	240	180	plant_bigtree_05.ldr
81730	960	10710	240	180	plant_bigtree_05.ldr
91750	960	25010	240	180	plant_bigtree_05.ldr
25670	960	93490	240	-90	plant_bigtree_05.ldr
108270	960	37070	240	0	plant_bigtree_05.ldr
1210	1128	151790	240	-180	plant_bigtree_05.ldr
136530	1064	102670	240	0	plant_bigtree_05.ldr
28430	2136	47330	240	-270	plant_bigtree_05.ldr
114030	960	23710	240	-270	plant_bigtree_05.ldr
147250	960	49470	240	-90	plant_bigtree_05.ldr
88930	960	87870	240	0	plant_bigtree_05.ldr
113030	960	83570	240	-90	plant_bigtree_05.ldr
157510	1480	90070	240	-180	plant_bigtree_05.ldr
126890	960	36050	240	-90	plant_bigtree_05.ldr
96530	960	40490	240	270	plant_bigtree_05.ldr
74270	960	153950	240	90	plant_bigtree_05.ldr
106970	960	58650	240	0	plant_bigtree_05.ldr
80070	960	151550	240	-180	plant_bigtree_05.ldr
15890	960	48030	240	-90	plant_bigtree_05.ldr
133130	960	25570	240	0	plant_bigtree_05.ldr
126370	4912	146650	240	180	plant_bigtree_05.ldr
116230	960	77390	240	180	plant_bigtree_05.ldr
29270	960	107830	240	-90	plant_bigtree_05.ldr
75890	960	2030	240	90	plant_bigtree_05.ldr
69030	472	89730	240	-90	plant_bigtree_05.ldr
87330	960	9150	240	0	plant_bigtree_05.ldr
94890	960	81750	240	270	plant_bigtree_05.ldr
41530	960	122610	240	-360	plant_bigtree_05.ldr
31510	960	95270	240	90	plant_bigtree_05.ldr
148670	1408	95270	240	90	plant_bigtree_05.ldr
10350	2568	150450	240	270	plant_bigtree_05.ldr
9370	1456	29630	240	0	plant_bigtree_05.ldr
160290	960	38550	240	90	plant_bigtree_05.ldr
93010	960	5670	240	-90	plant_bigtree_05.ldr
100670	960	11350	240	90	plant_bigtree_05.ldr
137670	960	22630	240	0	plant_bigtree_05.ldr
113990	504	62570	240	90	plant_bigtree_05.ldr
72790	960	82770	240	270	plant_bigtree_05.ldr
93650	960	11190	240	90	plant_bigtree_05.ldr
74470	1512	34010	240	90	plant_bigtree_05.ldr
122250	960	89950	240	270	plant_bigtree_05.ldr
79910	960	66070	240	-90	plant_bigtree_05.ldr
74550	960	15490	240	-180	plant_bigtree_05.ldr
4390	1848	36810	240	0	plant_bigtree_05.ldr
6190	960	3390	240	-180	plant_bigtree_05.ldr
136490	3440	143450	240	90	plant_bigtree_05.ldr
7910	960	67230	240	-270	plant_bigtree_05.ldr
7450	1288	27170	240	90	plant_bigtree_05.ldr
38910	1112	60490	240	90	plant_bigtree_05.ldr
48990	1248	117230	240	-180	plant_bigtree_05.ldr
100730	1400	155130	240	0	plant_bigtree_05.ldr
22710	960	58630	240	-90	plant_bigtree_05.ldr
151390	960	78350	240	-90	plant_bigtree_05.ldr
13970	960	105990	240	0	plant_bigtree_05.ldr
49710	960	86270	240	90	plant_bigtree_05.ldr
136090	960	162730	240	0	plant_bigtree_05.ldr
95990	960	19070	240	-360	plant_bigtree_05.ldr
99710	960	61150	240	90	plant_bigtree_05.ldr
94390	960	66010	240	-270	plant_bigtree_05.ldr
46470	960	110450	240	90	plant_bigtree_05.ldr
77530	960	161970	240	180	plant_bigtree_05.ldr
49950	960	143910	240	0	plant_bigtree_05.ldr
77050	960	162410	240	-270	plant_bigtree_05.ldr
12770	6408	126170	240	-360	plant_bigtree_05.ldr
122490	960	1610	240	90	plant_bigtree_05.ldr
109790	960	36310	240	90	plant_bigtree_05.ldr
116230	960	92890	240	-90	plant_bigtree_05.ldr
10770	960	15050	240	90	plant_bigtree_05.ldr
118070	960	45670	240	-270	plant_bigtree_05.ldr
37070	6112	34450	240	90	plant_bigtree_05.ldr
86830	960	37910	240	-270	plant_bigtree_05.ldr
53830	2168	119550	240	180	plant_bigtree_05.ldr
83970	2056	101630	240	-270	plant_bigtree_05.ldr
144010	960	83130	240	-90	plant_bigtree_05.ldr
140870	960	157470	240	-180	plant_bigtree_05.ldr
19950	960	69690	240	-90	plant_bigtree_05.ldr
111650	960	58850	240	-90	plant_bigtree_05.ldr
74370	960	19310	240	-180	plant_bigtree_05.ldr
153170	960	48230	240	-90	plant_bigtree_05.ldr
2730	3752	119030	240	180	plant_bigtree_05.ldr
28970	960	96650	240	0	plant_bigtree_05.ldr
5430	1272	44950	240	270	plant_bigtree_05.ldr
134070	960	59310	240	0	plant_bigtree_05.ldr
148770	960	14470	240	0	plant_bigtree_05.ldr
41590	960	94450	240	0	plant_bigtree_05.ldr
56930	960	74870	240	-180	plant_bigtree_05.ldr
111670	960	30270	240	-90	plant_bigtree_05.ldr
123310	960	61870	240	90	plant_bigtree_05.ldr
76630	1440	52530	240	0	plant_bigtree_05.ldr
77910	960	62370	240	0	plant_bigtree_05.ldr
152570	960	154810	240	-90	plant_bigtree_05.ldr
22830	960	69190	240	90	plant_bigtree_05.ldr
128330	960	28730	240	-90	plant_bigtree_05.ldr
144730	2712	109630	240	-90	plant_bigtree_05.ldr
11410	5952	138370	240	-180	plant_bigtree_05.ldr
92670	960	38550	240	-90	plant_bigtree_05.ldr
51630	3824	17650	240	270	plant_bigtree_05.ldr
156110	960	83770	240	-180	plant_bigtree_05.ldr
15330	2096	162030	240	270	plant_bigtree_05.ldr
124650	960	100730	240	0	plant_bigtree_05.ldr
157670	664	40290	240	270	plant_bigtree_05.ldr
160830	1304	87770	240	270	plant_bigtree_05.ldr
25650	4016	26370	240	0	plant_bigtree_05.ldr
129670	960	88850	240	-90	plant_bigtree_05.ldr
24870	2344	119530	240	-90	plant_bigtree_05.ldr
33430	960	61350	240	-270	plant_bigtree_05.ldr
114010	960	31110	240	180	plant_bigtree_05.ldr
63470	2240	109890	240	0	plant_bigtree_05.ldr
76710	1400	54790	240	180	plant_bigtree_05.ldr
16370	960	98650	240	180	plant_bigtree_05.ldr
120990	960	17630	240	-90	plant_bigtree_05.ldr
87210	968	54570	240	0	plant_bigtree_05.ldr
120330	2296	163650	240	-360	plant_bigtree_05.ldr
149490	960	33450	240	0	plant_bigtree_05.ldr
147310	1192	94950	240	180	plant_bigtree_05.ldr
161990	960	17710	240	-180	plant_bigtree_05.ldr
152550	960	48050	240	0	plant_bigtree_05.ldr
161490	960	22090	240	0	plant_bigtree_05.ldr
16130	960	52830	240	-90	plant_bigtree_05.ldr
132050	960	7290	240	-90	plant_bigtree_05.ldr
137210	960	11310	240	-90	plant_bigtree_05.ldr
97890	2688	99730	240	90	plant_bigtree_05.ldr
138050	960	94410	240	180	plant_bigtree_05.ldr
137750	3568	117810	240	-90	plant_bigtree_05.ldr
104650	3296	100990	240	90	plant_bigtree_05.ldr
52810	960	90390	240	0	plant_bigtree_05.ldr
116730	960	45330	240	-180	plant_bigtree_05.ldr
141310	960	40970	240	90	plant_bigtree_05.ldr
112010	960	5290	240	-90	plant_bigtree_05.ldr
118990	960	22230	240	-180	plant_bigtree_05.ldr
8570	4968	122650	240	180	plant_bigtree_05.ldr
159910	968	131170	240	180	plant_bigtree_05.ldr
14390	960	58990	240	90	plant_bigtree_05.ldr
150650	960	76730	240	0	plant_bigtree_05.ldr
133270	960	43170	240	180	plant_bigtree_05.ldr
48190	960	90990	240	-90	plant_bigtree_05.ldr
149710	960	89630	240	-270	plant_bigtree_05.ldr
98570	960	55350	240	270	plant_bigtree_05.ldr
8830	960	12030	240	-270	plant_bigtree_05.ldr
59350	1264	66150	240	270	plant_bigtree_05.ldr
156770	960	35770	240	-90	plant_bigtree_05.ldr
14790	960	71710	240	-180	plant_bigtree_05.ldr
49590	1144	147710	240	180	plant_bigtree_05.ldr
86470	960	96590	240	-180	plant_bigtree_05.ldr
25930	960	870	240	0	plant_bigtree_05.ldr
94290	960	25690	240	0	plant_bigtree_05.ldr
100630	960	35230	240	-180	plant_bigtree_05.ldr
128250	960	43170	240	180	plant_bigtree_05.ldr
35310	960	112530	240	180	plant_bigtree_05.ldr
1510	960	51370	240	0	plant_bigtree_05.ldr
125290	960	81590	240	-90	plant_bigtree_05.ldr
23410	960	50090	240	0	plant_bigtree_05.ldr
35450	960	101250	240	-90	plant_bigtree_05.ldr
137170	960	13390	240	-180	plant_bigtree_05.ldr
149150	960	27470	240	-90	plant_bigtree_05.ldr
143050	960	4270	240	0	plant_bigtree_05.ldr
93370	960	65890	240	0	plant_bigtree_05.ldr
146330	968	147810	240	0	plant_bigtree_05.ldr
28910	1808	49570	240	270	plant_bigtree_05.ldr
12830	3536	148810	240	0	plant_bigtree_05.ldr
144750	960	88850	240	180	plant_bigtree_05.ldr
115650	960	22350	240	90	plant_bigtree_05.ldr
141850	1240	102590	240	-180	plant_bigtree_05.ldr
129370	960	69410	240	-270	plant_bigtree_05.ldr
8510	1664	157010	240	-90	plant_bigtree_05.ldr
46470	960	124910	240	90	plant_bigtree_05.ldr
121070	960	47970	240	270	plant_bigtree_05.ldr
26450	960	111330	240	-180	plant_bigtree_05.ldr
113290	960	74470	240	-90	plant_bigtree_05.ldr
44670	960	100690	240	270	plant_bigtree_05.ldr
95930	4704	141030	240	180	plant_bigtree_05.ldr
111010	960	44710	240	0	plant_bigtree_05.ldr
60330	2496	134430	240	-180	plant_bigtree_05.ldr
14770	960	108530	240	-90	plant_bigtree_05.ldr
36210	1744	125110	240	-90	plant_bigtree_05.ldr
132810	2696	153790	240	0	plant_bigtree_05.ldr
93890	960	46270	240	90	plant_bigtree_05.ldr
119990	960	74390	240	-90	plant_bigtree_05.ldr
57330	3632	43330	240	-180	plant_bigtree_05.ldr
107570	960	36610	240	-180	plant_bigtree_05.ldr
9390	960	101770	240	-180	plant_bigtree_05.ldr
48170	1064	131130	240	180	plant_bigtree_05.ldr
117030	960	22390	240	90	plant_bigtree_05.ldr
16250	1112	44550	240	-270	plant_bigtree_05.ldr
20290	1472	44450	240	-90	plant_bigtree_05.ldr
117630	960	16750	240	360	plant_bigtree_05.ldr
124790	1816	105810	240	0	plant_bigtree_05.ldr
39070	1048	1710	240	90	plant_bigtree_05.ldr
25510	3888	35930	240	-180	plant_bigtree_05.ldr
163210	960	45630	240	0	plant_bigtree_05.ldr
106610	960	77370	240	180	plant_bigtree_05.ldr
24010	960	8590	240	90	plant_bigtree_05.ldr
36710	960	66670	240	90	plant_bigtree_05.ldr
149690	960	38010	240	-90	plant_bigtree_05.ldr
129070	960	14250	240	-270	plant_bigtree_05.ldr
33410	1296	3010	240	180	plant_bigtree_05.ldr
8170	960	103390	240	0	plant_bigtree_05.ldr
117750	4600	151270	240	-90	plant_bigtree_05.ldr
76210	960	8810	240	180	plant_bigtree_05.ldr
20790	960	65430	240	270	plant_bigtree_05.ldr
106190	960	57250	240	-270	plant_bigtree_05.ldr
155130	1192	158150	240	0	plant_bigtree_05.ldr
151950	960	48590	240	-180	plant_bigtree_05.ldr
83490	960	14830	240	90	plant_bigtree_05.ldr
147390	368	44130	240	-90	plant_bigtree_05.ldr
112510	960	85350	240	90	plant_bigtree_05.ldr
160110	960	27010	240	90	plant_bigtree_05.ldr
53850	1808	156890	240	-270	plant_bigtree_05.ldr
119170	960	35690	240	90	plant_bigtree_05.ldr
155970	960	17210	240	0	plant_bigtree_05.ldr
150590	960	22690	240	-90	plant_bigtree_05.ldr
8010	1584	158770	240	90	plant_bigtree_05.ldr
125510	960	85130	240	90	plant_bigtree_05.ldr
86130	960	11970	240	0	plant_bigtree_05.ldr
161030	960	33850	240	0	plant_bigtree_05.ldr
13830	960	69330	240	-270	plant_bigtree_05.ldr
65630	3136	42830	240	180	plant_bigtree_05.ldr
93850	960	71390	240	270	plant_bigtree_05.ldr
159530	960	14510	240	-270	plant_bigtree_05.ldr
108690	960	56050	240	-270	plant_bigtree_05.ldr
137130	960	83770	240	270	plant_bigtree_05.ldr
125090	960	70090	240	180	plant_bigtree_05.ldr
90570	960	25970	240	0	plant_bigtree_05.ldr
102050	720	81610	240	-90	plant_bigtree_05.ldr
102510	960	31770	240	0	plant_bigtree_05.ldr
23610	960	101650	240	0	plant_bigtree_05.ldr
128650	960	13390	240	90	plant_bigtree_05.ldr
100530	960	28630	240	-270	plant_bigtree_05.ldr
70290	2064	145050	240	90	plant_bigtree_05.ldr
152130	960	80430	240	0	plant_bigtree_05.ldr
107850	960	5290	240	270	plant_bigtree_05.ldr
70250	960	2110	240	90	plant_bigtree_05.ldr
150470	960	144550	240	-90	plant_bigtree_05.ldr
84010	960	98510	240	90	plant_bigtree_05.ldr
163210	960	137070	240	180	plant_bigtree_05.ldr
67530	960	72390	240	0	plant_bigtree_05.ldr
41390	960	103070	240	180	plant_bigtree_05.ldr
12750	960	108010	240	0	plant_bigtree_05.ldr
37930	960	64350	240	-270	plant_bigtree_05.ldr
93130	960	13630	240	-270	plant_bigtree_05.ldr
53110	1112	134250	240	180	plant_bigtree_05.ldr
15150	960	68630	240	-180	plant_bigtree_05.ldr
8710	960	52390	240	-180	plant_bigtree_05.ldr
114470	2656	160050	240	270	plant_bigtree_05.ldr
33250	960	63150	240	-90	plant_bigtree_05.ldr
49690	960	104890	240	90	plant_bigtree_05.ldr
3430	960	91870	240	90	plant_bigtree_05.ldr
54990	1448	153990	240	-180	plant_bigtree_05.ldr
54850	2400	123950	240	90	plant_bigtree_05.ldr
97730	976	94470	240	-90	plant_bigtree_05.ldr
11670	960	50270	240	-90	plant_bigtree_05.ldr
111350	960	26150	240	180	plant_bigtree_05.ldr
147610	1352	142030	240	270	plant_bigtree_05.ldr
149110	960	54450	240	180	plant_bigtree_05.ldr
90790	784	88330	240	90	plant_bigtree_05.ldr
74010	1664	43790	240	270	plant_bigtree_05.ldr
78250	1528	40810	240	-270	plant_bigtree_05.ldr
34530	960	72430	240	-180	plant_bigtree_05.ldr
133910	960	16250	240	180	plant_bigtree_05.ldr
57050	1120	150310	240	-90	plant_bigtree_05.ldr
109870	960	28570	240	0	plant_bigtree_05.ldr
105650	1200	162130	240	-90	plant_bigtree_05.ldr
39730	960	101010	240	0	plant_bigtree_05.ldr
4610	1520	162470	240	-90	plant_bigtree_05.ldr
38190	5432	21670	240	-90	plant_bigtree_05.ldr
142190	1120	101190	240	180	plant_bigtree_05.ldr
130650	4048	146850	240	-90	plant_bigtree_05.ldr
162670	744	39710	240	-90	plant_bigtree_05.ldr
26590	960	81710	240	90	plant_bigtree_05.ldr
50030	960	141850	240	-90	plant_bigtree_05.ldr
83750	968	57450	240	-270	plant_bigtree_05.ldr
64530	960	72870	240	0	plant_bigtree_05.ldr
20250	2608	163530	240	90	plant_bigtree_05.ldr
62850	2160	138770	240	180	plant_bigtree_05.ldr
162610	960	43870	240	90	plant_bigtree_05.ldr
92670	960	41070	240	-90	plant_bigtree_05.ldr
118210	960	77950	240	-180	plant_bigtree_05.ldr
156530	960	20250	240	-180	plant_bigtree_05.ldr
84410	960	11270	240	0	plant_bigtree_05.ldr
81470	960	60970	240	-90	plant_bigtree_05.ldr
20090	960	58250	240	270	plant_bigtree_05.ldr
158890	5752	112170	240	0	plant_bigtree_05.ldr
124390	960	85010	240	-180	plant_bigtree_05.ldr
121970	960	65690	240	-90	plant_bigtree_05.ldr
61810	3816	37150	240	0	plant_bigtree_05.ldr
22410	960	1810	240	0	plant_bigtree_05.ldr
63930	3720	35330	240	90	plant_bigtree_05.ldr
108030	6776	142630	240	0	plant_bigtree_05.ldr
92990	960	60110	240	270	plant_bigtree_05.ldr
98770	960	45170	240	-360	plant_bigtree_05.ldr
34570	2392	11050	240	0	plant_bigtree_05.ldr
124330	4008	151610	240	0	plant_bigtree_05.ldr
66250	960	158730	240	180	plant_bigtree_05.ldr
128590	960	24490	240	90	plant_bigtree_05.ldr
15390	960	70810	240	-90	plant_bigtree_05.ldr
72530	960	160450	240	-90	plant_bigtree_05.ldr
101790	960	89850	240	180	plant_bigtree_05.ldr
109230	960	35310	240	0	plant_bigtree_05.ldr
94890	960	51810	240	-90	plant_bigtree_05.ldr
8190	960	107030	240	90	plant_bigtree_05.ldr
89210	960	36810	240	0	plant_bigtree_05.ldr
114270	960	90610	240	-90	plant_bigtree_05.ldr
156910	200	41210	240	-90	plant_bigtree_05.ldr
138730	2032	150690	240	-90	plant_bigtree_05.ldr
8290	960	97250	240	180	plant_bigtree_05.ldr
95130	960	163630	240	-90	plant_bigtree_05.ldr
145150	960	79350	240	0	plant_bigtree_05.ldr
6370	960	72190	240	270	plant_bigtree_05.ldr
3550	736	74730	240	0	plant_bigtree_05.ldr
39950	960	111990	240	0	plant_bigtree_05.ldr
110770	2040	161170	240	-90	plant_bigtree_05.ldr
70070	960	66890	240	-90	plant_bigtree_05.ldr
136510	960	10290	240	-180	plant_bigtree_05.ldr
138030	960	160210	240	90	plant_bigtree_05.ldr
146330	944	46170	240	-90	plant_bigtree_05.ldr
148970	960	77430	240	0	plant_bigtree_05.ldr
1270	960	16250	240	270	plant_bigtree_05.ldr
108470	960	76050	240	0	plant_bigtree_05.ldr
87250	960	85610	240	360	plant_bigtree_05.ldr
109890	1320	95310	240	180	plant_bigtree_05.ldr
16850	3448	156370	240	90	plant_bigtree_05.ldr
11650	992	45550	240	0	plant_bigtree_05.ldr
73610	960	79570	240	-180	plant_bigtree_05.ldr
109590	960	14010	240	0	plant_bigtree_05.ldr
161370	2432	157570	240	90	plant_bigtree_05.ldr
59670	1320	140210	240	-180	plant_bigtree_05.ldr
83390	960	61010	240	-180	plant_bigtree_05.ldr
98070	960	5870	240	90	plant_bigtree_05.ldr
158630	1792	158450	240	-90	plant_bigtree_05.ldr
74010	960	83290	240	270	plant_bigtree_05.ldr
129150	960	55990	240	180	plant_bigtree_05.ldr
92630	960	71110	240	90	plant_bigtree_05.ldr
73190	1816	43570	240	-90	plant_bigtree_05.ldr
84110	960	11910	240	-90	plant_bigtree_05.ldr
113130	960	11730	240	-180	plant_bigtree_05.ldr
91370	960	82530	240	-180	plant_bigtree_05.ldr
28410	960	67610	240	270	plant_bigtree_05.ldr
80670	3528	138950	240	360	plant_bigtree_05.ldr
84950	960	161750	240	180	plant_bigtree_05.ldr
98810	960	18270	240	0	plant_bigtree_05.ldr
132210	1536	163690	240	-180	plant_bigtree_05.ldr
110730	960	34870	240	90	plant_bigtree_05.ldr
88450	960	2150	240	90	plant_bigtree_05.ldr
22530	2536	118950	240	-180	plant_bigtree_05.ldr
44630	960	95910	240	90	plant_bigtree_05.ldr
28670	960	83910	240	270	plant_bigtree_05.ldr
15050	960	94430	240	360	plant_bigtree_05.ldr
80830	960	62090	240	270	plant_bigtree_05.ldr
44350	960	117710	240	90	plant_bigtree_05.ldr
122390	960	92030	240	-90	plant_bigtree_05.ldr
35650	960	69310	240	-90	plant_bigtree_05.ldr
161250	960	13590	240	-360	plant_bigtree_05.ldr
113690	960	22330	240	180	plant_bigtree_05.ldr
76590	960	68430	240	90	plant_bigtree_05.ldr
95890	960	38510	240	90	plant_bigtree_05.ldr
153770	976	88430	240	180	plant_bigtree_05.ldr
120770	960	58670	240	-270	plant_bigtree_05.ldr
98350	960	160810	240	0	plant_bigtree_05.ldr
75150	960	161150	240	90	plant_bigtree_05.ldr
155370	960	146990	240	90	plant_bigtree_05.ldr
80010	960	12510	240	-90	plant_bigtree_05.ldr
108370	3024	154150	240	0	plant_bigtree_05.ldr
73030	960	22350	240	-90	plant_bigtree_05.ldr
124670	960	13970	240	0	plant_bigtree_05.ldr
125370	960	37490	240	-180	plant_bigtree_05.ldr
135250	984	61450	240	-180	plant_bigtree_05.ldr
102970	4696	144650	240	0	plant_bigtree_05.ldr
82770	960	97370	240	-90	plant_bigtree_05.ldr
157090	1352	154810	240	0	plant_bigtree_05.ldr
146790	1584	141190	240	-180	plant_bigtree_05.ldr
103310	960	83210	240	-90	plant_bigtree_05.ldr
126030	2056	163130	240	-90	plant_bigtree_05.ldr
6950	1472	157590	240	90	plant_bigtree_05.ldr
131090	6200	134670	240	-90	plant_bigtree_05.ldr
158930	960	56070	240	90	plant_bigtree_05.ldr
145750	960	81130	240	-90	plant_bigtree_05.ldr
86210	1016	98090	240	-90	plant_bigtree_05.ldr
4450	1016	18630	240	-360	plant_bigtree_05.ldr
8930	960	95830	240	180	plant_bigtree_05.ldr
85250	1344	45310	240	0	plant_bigtree_05.ldr
107930	960	30610	240	270	plant_bigtree_05.ldr
21230	960	92950	240	90	plant_bigtree_05.ldr
47150	3480	14310	240	-180	plant_bigtree_05.ldr
98110	960	157350	240	90	plant_bigtree_05.ldr
117430	960	7470	240	-90	plant_bigtree_05.ldr
91190	960	83390	240	-360	plant_bigtree_05.ldr
131930	960	23090	240	90	plant_bigtree_05.ldr
13930	960	81470	240	-90	plant_bigtree_05.ldr
147710	192	44810	240	0	plant_bigtree_05.ldr
72750	1608	30570	240	-90	plant_bigtree_05.ldr
25230	960	110150	240	0	plant_bigtree_05.ldr
40490	960	93350	240	-270	plant_bigtree_05.ldr
